pair,10,22,45,66,125,250,500,1250
ADI - TER,0.9830078976126143,0.8991910480497212,0.8707664928620041,0.8567041784506139,0.9353372679370081,0.9555135254477459,0.939070617639775,0.6980921149254766
ADI - TXN,0.7808157681753637,0.8474365105312597,0.7753482449769712,0.5279877934213663,0.904193812899076,0.9610679564631417,0.8563263560400218,0.8974966513348279
AEP - AVB,0.5671426718829843,0.9215461379530814,0.8345237934376535,0.8623505816428985,0.9241384978746122,0.9522269234571369,0.5294594684951902,0.529840734802942
AEP - CL,-0.22583474347129576,0.8300584597152367,0.8951736019102026,0.90771414946829,0.9410775229560349,0.9500133785095961,0.6431401371068549,0.5404424289249611
AEP - CMS,0.7846472054295546,0.9596035741298315,0.9448457001729137,0.9736481997498329,0.9635990922612188,0.9767252277559735,0.9122831723318902,0.9180452125722441
AEP - D,0.9210119641541817,0.9564403247071585,0.9353151944548617,0.966579441941164,0.9515260238995381,0.962678118187312,0.6608162699431306,0.04893791934875369
AEP - DTE,0.052025545336477914,0.7237280792521911,0.9163171932524592,0.9735343346742202,0.9778635416447277,0.9678113523233608,0.9100949312683753,0.8258474972999345
AEP - DUK,0.856743407706193,0.9632249469707852,0.9533241306388539,0.9859174615565865,0.987329674740026,0.9729349040422033,0.850715499649462,0.8331491072928042
AEP - EIX,-0.49646025970342134,0.6147369709534282,0.8908703467412691,0.960570996838457,0.9716081208002463,0.9687627487910955,0.6104921548395732,0.7297289074504172
AEP - ETR,0.6485147402759764,0.9286932550998375,0.9615408767163134,0.9782841053865604,0.9758560781906234,0.9841492319896271,0.9217125700583746,0.9308052951914972
AEP - EVRG,0.9603366239531307,0.9751182162324803,0.9730468001613716,0.99102145281224,0.989184143282121,0.9619178621363831,0.7487970667610012,0.7400383903778457
AEP - FE,0.6048774107630025,0.9318750222490261,0.9391034538101509,0.9686625917408307,0.9670468645517174,0.9733215346629792,0.9210350739029584,0.7123899961120455
AEP - HWM,-0.17429546301574214,-0.6114448553672568,0.7509047048419204,0.8577008670305464,0.9057241244128844,0.9519138869992841,0.5099440500806445,0.5816200214553441
AEP - IRM,0.21422529377067942,0.48269235521134635,0.8336720326239155,0.9451888696620199,0.901777277908941,0.9552068180644923,0.5144075956030741,0.6160833808763044
AEP - KMI,-0.6103872799556391,0.03703809601679412,0.5152467117002909,0.8759989368232263,0.9156285744866846,0.9628089214419466,0.679364411374531,0.745006178742316
AEP - KO,-0.48662292670567425,0.7266180066507386,0.9127171910949825,0.953081134949283,0.9611888241487992,0.9664127429719417,0.8177318432944176,0.8101268337679199
AEP - MMM,-0.3529738910895622,0.5499587861626253,0.8507800264238107,0.9310796859757284,0.9470152181256934,0.9532202595982937,0.8388643974071227,-0.14353158131111327
AEP - NI,0.838930412458193,0.9525169442482148,0.9256484146130927,0.9743156106062896,0.9773408113099497,0.978673453899352,0.8059420905052529,0.8845578230404657
AEP - PEG,0.5886996027688257,0.5380485753860983,0.8490137854170976,0.9196853760398861,0.9371693944518126,0.9536699766060002,0.6668494367168624,0.7560542547352386
AEP - PPL,0.8705475304073607,0.9422373630579581,0.9162379736132192,0.9576703302274223,0.9721070712074577,0.9773265273790874,0.92460490313082,0.7827919439471592
AEP - SO,0.8303941481366511,0.8651578434188066,0.9307569916589326,0.9750768290642257,0.9696677130139426,0.9672338301690235,0.6885396881482418,0.8015000787814414
AEP - WELL,0.8653350690525217,0.9514091722659723,0.9165951472570232,0.9352658590296398,0.951066215695428,0.9660663648151024,0.3999279289321302,0.631889023229487
AFL - LMT,0.22938240878760813,0.6360534897507003,0.8496889678496521,0.9353935109258966,0.9482933800416397,0.9546778079625652,0.6575517465987977,0.8647532010570257
AFL - MMM,0.34366518027735016,0.8324598972821445,0.8294368935949429,0.9241605032521016,0.9528425355820407,0.9502651948934295,0.6548640411795087,-0.41182502073506033
AFL - PM,-0.03107750920264448,0.8490486431126646,0.9414290348578173,0.970269090546203,0.9709814362876888,0.9653859997168617,0.8146939664357947,0.8942665716756175
AIG - C,0.8451259079794515,0.7659041087910641,0.9130225783910794,0.8469721342294038,0.6857501461986872,0.9705219633486257,0.8812947193624056,0.33270396224473603
AIG - DOV,0.04508691883063165,0.2145085802226299,0.7244148493029233,0.6500862005609119,0.4927770655159081,0.9510123798747702,0.8740478758811051,0.832045847009531
AIG - ETN,0.1877504536403148,0.20200896897087148,0.6197023209827908,0.4488439859181047,0.612128283071335,0.9619139509453855,0.9260475229380859,0.8800783015439707
AIG - IR,0.2005304924260939,0.18420782019570286,0.790004764217579,0.7560039622830372,0.4856971899381016,0.9540940032053874,0.9269101334756749,0.8903894516686677
AIG - WFC,0.8476112699233401,0.8621400248745628,0.8999613651496434,0.8020767407635254,0.7289761292355172,0.9752570248428312,0.9274196902179257,0.9045983496609943
AIG - XYL,0.5811176101117921,0.589711898680342,0.7831927129700971,0.6394139833151948,0.5664789388531903,0.9638637566819899,0.8719247468013959,0.7351202895463561
ALL - AXP,0.5135534112813469,0.47829896590493143,0.6674968238314444,0.8264557069349884,0.6904469846891887,0.9508554118718244,0.888839950087065,0.9236520376501896
ALL - FI,0.7539228624309998,0.9014587885256905,0.9282974322978033,0.9682344849586679,0.9058987588039583,0.9741499137850848,0.8269507638935393,0.7669824614912865
ALL - HIG,0.40193455810535195,0.9189513567933731,0.8652573174813947,0.9239519801257463,0.8170137403035186,0.9560569125353521,0.9403849309510693,0.9411656792032627
ALL - L,0.6880445594613279,0.5733300343452867,0.6704234084062591,0.8641387309747818,0.8023401682668043,0.9714695471740394,0.8846168769996395,0.9097581146572233
